YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,56,369360,332,362,352,364,311,366,0.002908138791173649,False,0.007543325424194336,424,472
2020,12,31,18,9,56,376562,331,362,351,363,309,367,0.0029755956188039652,False,0.007173776626586914,424,472
2020,12,31,18,9,56,384171,330,362,350,363,308,368,0.002995582826990726,False,0.0075871944427490234,424,472
2020,12,31,18,9,56,391472,330,362,350,363,309,368,0.0029880876239206907,False,0.007273197174072266,424,472
2020,12,31,18,9,56,399154,330,362,350,364,308,368,0.0029805924208506558,False,0.007658481597900391,424,472
2020,12,31,18,9,56,406316,330,362,350,363,307,367,0.003068036456667733,False,0.007134437561035156,424,472
2020,12,31,18,9,56,413958,329,363,349,363,305,365,0.003135493284298049,False,0.007620811462402344,424,472
2020,12,31,18,9,56,421202,327,363,348,364,305,363,0.003172969299648225,False,0.0072138309478759766,424,472
2020,12,31,18,9,56,428750,327,363,347,363,304,360,0.003085525263831148,False,0.007528543472290039,424,472
2020,12,31,18,9,56,435918,326,362,348,362,303,359,0.003043052446434282,False,0.007138490676879883,424,472
2020,12,31,18,9,56,443572,324,361,346,362,300,356,0.003162975695554845,False,0.00763249397277832,424,472
2020,12,31,18,9,56,450823,323,360,344,362,300,356,0.0031105092740645987,False,0.007223367691040039,424,472
2020,12,31,18,9,56,458406,323,360,343,363,300,353,0.0030980172689478733,False,0.007561683654785156,424,472
2020,12,31,18,9,56,465611,323,360,343,363,301,352,0.003048049248480972,False,0.007174968719482422,424,472
2020,12,31,18,9,56,473192,324,361,343,363,303,353,0.0029356212024304446,False,0.007560253143310547,424,472
2020,12,31,18,9,56,480494,324,360,339,359,304,354,0.002835685161496642,False,0.007272005081176758,424,472
2020,12,31,18,9,56,488125,324,360,343,363,303,351,0.002870662775823473,False,0.007611274719238281,424,472
2020,12,31,18,9,56,495314,323,360,343,363,303,351,0.0029431164055004795,False,0.007160186767578125,424,472
2020,12,31,18,9,56,502987,324,360,344,364,303,350,0.0029056403901503037,False,0.007649898529052734,424,472
2020,12,31,18,9,56,510187,323,360,343,363,303,350,0.002913135593220339,False,0.007171154022216797,424,472
2020,12,31,18,9,56,517945,323,360,343,363,303,350,0.0029331228014070993,False,0.007735252380371094,424,472
2020,12,31,18,9,56,525197,324,360,343,363,303,350,0.0029056403901503037,False,0.0072231292724609375,424,472
2020,12,31,18,9,56,532472,323,360,343,363,304,351,0.0029331228014070993,False,0.007250785827636719,424,472
2020,12,31,18,9,56,540398,323,359,343,364,303,346,0.003053046050527662,False,0.007903575897216797,424,472
2020,12,31,18,9,56,548235,323,358,343,364,305,345,0.003035557243364247,False,0.007812023162841797,424,472
2020,12,31,18,9,56,555905,323,357,342,365,308,339,0.003035557243364247,False,0.007649898529052734,424,472
2020,12,31,18,9,56,562980,320,355,338,366,307,334,0.0030655380556443876,False,0.0070416927337646484,424,472
2020,12,31,18,9,56,570524,319,353,338,366,305,332,0.0030205668372241764,False,0.007520437240600586,424,472
2020,12,31,18,9,56,578361,318,351,335,365,304,332,0.0029681004157339303,False,0.007812976837158203,424,472
2020,12,31,18,9,56,585802,316,351,333,365,302,332,0.002990586024944036,False,0.007418155670166016,424,472
2020,12,31,18,9,56,593295,315,351,330,364,297,336,0.0029106371921969938,False,0.00746464729309082,424,472
2020,12,31,18,9,56,600676,314,351,329,359,295,338,0.002923129197313719,False,0.0073544979095458984,424,472
2020,12,31,18,9,56,608120,313,350,327,363,294,336,0.0030080748321074514,False,0.007419109344482422,424,472
2020,12,31,18,9,56,615671,312,350,328,362,296,332,0.0030505476495043173,False,0.007527828216552734,424,472
2020,12,31,18,9,56,623078,312,350,328,363,294,335,0.0030580428525743522,False,0.007380962371826172,424,472
2020,12,31,18,9,56,630577,311,349,328,362,296,330,0.0030630396546210427,False,0.007472991943359375,424,472
2020,12,31,18,9,56,638117,311,349,327,360,298,330,0.002923129197313719,False,0.007514476776123047,424,472
2020,12,31,18,9,56,645630,311,349,327,360,296,334,0.0028556723696834025,False,0.007487773895263672,424,472
2020,12,31,18,9,56,653172,311,349,324,361,295,334,0.0028381835625199874,False,0.007462739944458008,424,472
2020,12,31,18,9,56,660361,311,349,324,361,299,331,0.002888151582986888,False,0.007165431976318359,424,472
2020,12,31,18,9,56,668167,310,348,327,360,295,330,0.002908138791173649,False,0.007783651351928711,424,472
2020,12,31,18,9,56,675383,310,348,327,360,295,328,0.0029730972177806204,False,0.0071849822998046875,424,472
2020,12,31,18,9,56,683110,309,346,327,360,296,325,0.002998081228014071,False,0.0077056884765625,424,472
2020,12,31,18,9,56,690294,309,346,323,358,298,326,0.0026582986888391428,False,0.007155179977416992,424,472
2020,12,31,18,9,56,697915,310,346,322,357,302,329,0.0024409377998081227,False,0.007583141326904297,424,472
2020,12,31,18,9,56,705128,312,349,322,360,305,333,0.0021636152862168213,False,0.007185697555541992,424,472
2020,12,31,18,9,56,712787,314,351,322,360,311,337,0.0018887911736488647,False,0.007635593414306641,424,472
2020,12,31,18,9,56,719950,315,353,323,360,314,340,0.001526523025263831,False,0.0071337223052978516,424,472
2020,12,31,18,9,56,726243,None,None,None,None,None,None,None,True,0.0062830448150634766,424,472
2020,12,31,18,9,56,731985,None,None,None,None,None,None,None,True,0.005709648132324219,424,472
2020,12,31,18,9,56,738448,None,None,None,None,None,None,None,True,0.0064449310302734375,424,472
2020,12,31,18,9,56,745690,317,354,323,360,316,343,0.001351634953629677,False,0.007204771041870117,424,472
2020,12,31,18,9,56,753346,315,350,320,362,317,332,0.002066177646306364,False,0.0076351165771484375,424,472
2020,12,31,18,9,56,760632,314,348,319,362,316,329,0.00233100815478094,False,0.007257223129272461,424,472
2020,12,31,18,9,56,767936,314,347,316,363,316,327,0.002490905820275024,False,0.00728154182434082,424,472
2020,12,31,18,9,56,775887,315,345,318,363,321,325,0.002718260313399424,False,0.00792551040649414,424,472
2020,12,31,18,9,56,783793,316,343,317,362,326,323,0.002918132395267029,False,0.007884979248046875,424,472
2020,12,31,18,9,56,791510,318,341,315,359,330,322,0.0030505476495043173,False,0.007693052291870117,424,472
2020,12,31,18,9,56,798756,321,339,315,355,337,321,0.003123001279181324,False,0.007218837738037109,424,472
2020,12,31,18,9,56,806388,323,336,316,352,342,319,0.0031130076750879435,False,0.007606029510498047,424,472
2020,12,31,18,9,56,814515,325,335,312,345,345,320,0.0030130716341541415,False,0.00810098648071289,424,472
2020,12,31,18,9,56,821752,327,335,316,348,348,322,0.0030230652382475217,False,0.007212162017822266,424,472
2020,12,31,18,9,56,829343,331,334,319,348,353,320,0.0032729053405820274,False,0.007566928863525391,424,472
2020,12,31,18,9,56,836918,336,333,321,347,357,318,0.003340362168212344,False,0.007548332214355469,424,472
2020,12,31,18,9,56,844195,342,329,325,345,362,312,0.003257914934441957,False,0.007253170013427734,424,472
2020,12,31,18,9,56,852208,346,325,330,341,365,308,0.003257914934441957,False,0.00799250602722168,424,472
2020,12,31,18,9,56,860125,350,322,337,338,367,306,0.003043052446434282,False,0.007892131805419922,424,472
2020,12,31,18,9,56,867842,354,320,344,336,369,303,0.003088023664854493,False,0.007695436477661133,424,472
2020,12,31,18,9,56,875057,357,316,345,331,366,296,0.002955608410617205,False,0.007185935974121094,424,472
2020,12,31,18,9,56,882613,358,314,347,328,364,292,0.0029281259993604093,False,0.007531881332397461,424,472
2020,12,31,18,9,56,890485,359,310,350,324,365,287,0.0029730972177806204,False,0.007848501205444336,424,472
